user_id,job_id,match_score,recommended
U00026,J00060,0.0,0
U00618,J00052,0.3333333333333333,0
U00116,J00367,0.2857142857142857,0
U00273,J00196,0.125,0
U00908,J00338,0.125,0
U00949,J00300,0.125,0
U00064,J00498,0.0,0
U00087,J00213,0.6666666666666666,1
U00977,J00365,0.16666666666666666,0
U00708,J00023,0.2857142857142857,0
U00773,J00429,0.0,0
U00231,J00058,0.0,0
U00644,J00477,0.0,0
U00446,J00112,0.3333333333333333,0
U00033,J00010,0.0,0
U00898,J00186,0.0,0
U00493,J00008,0.3333333333333333,0
U00215,J00205,0.1111111111111111,0
U00113,J00494,0.0,0
U00154,J00314,0.0,0
U00745,J00120,0.0,0
U00631,J00433,0.0,0
U00695,J00106,0.16666666666666666,0
U00114,J00086,0.6,1
U00958,J00494,0.14285714285714285,0
U00857,J00380,0.2857142857142857,0
U00662,J00164,0.16666666666666666,0
U00344,J00456,0.3333333333333333,0
U00721,J00027,0.5,0
U00184,J00355,0.2857142857142857,0
U00920,J00352,0.5,0
U00721,J00192,0.0,0
U00597,J00287,0.0,0
U00630,J00497,0.0,0
U00722,J00373,0.2857142857142857,0
U00588,J00352,0.16666666666666666,0
U00995,J00432,0.6,1
U00875,J00084,0.16666666666666666,0
U00187,J00302,0.14285714285714285,0
U00627,J00097,0.25,0
U00189,J00371,0.0,0
U00115,J00131,0.14285714285714285,0
U00169,J00342,0.16666666666666666,0
U00343,J00330,0.14285714285714285,0
U00389,J00159,0.6666666666666666,1
U00874,J00282,0.125,0
U00936,J00445,0.0,0
U00002,J00449,0.14285714285714285,0
U00940,J00167,0.125,0
U00675,J00259,0.2857142857142857,0
U00591,J00028,0.2,0
U00304,J00259,0.2857142857142857,0
U00275,J00118,0.2,0
U00139,J00358,0.0,0
U00958,J00295,0.2,0
U00488,J00336,0.5,0
U00194,J00499,0.14285714285714285,0
U00141,J00390,0.4,0
U00218,J00272,0.2,0
U00974,J00093,0.16666666666666666,0
U00141,J00498,0.0,0
U00046,J00310,0.16666666666666666,0
U00892,J00297,0.16666666666666666,0
U00729,J00140,0.3333333333333333,0
U00686,J00065,0.125,0
U00480,J00159,0.1111111111111111,0
U00068,J00195,0.16666666666666666,0
U00339,J00247,0.5,0
U00863,J00393,0.5,0
U00506,J00227,0.16666666666666666,0
U00034,J00124,0.0,0
U00574,J00021,0.16666666666666666,0
U00247,J00114,0.16666666666666666,0
U00471,J00406,0.2857142857142857,0
U00476,J00416,0.16666666666666666,0
U00085,J00385,0.0,0
U00676,J00182,0.3333333333333333,0
U00585,J00408,0.2857142857142857,0
U00866,J00301,0.14285714285714285,0
U00462,J00054,0.14285714285714285,0
U00708,J00238,0.0,0
U00475,J00019,0.0,0
U00843,J00129,0.5,0
U00930,J00165,0.25,0
U00635,J00297,0.2,0
U00107,J00235,0.3333333333333333,0
U00884,J00401,0.1111111111111111,0
U00904,J00099,0.2,0
U00777,J00437,0.16666666666666666,0
U00075,J00442,0.0,0
U00852,J00021,0.125,0
U00458,J00181,0.25,0
U00939,J00003,0.0,0
U00472,J00077,0.25,0
U00400,J00124,0.16666666666666666,0
U00399,J00329,0.0,0
U00867,J00494,0.16666666666666666,0
U00241,J00120,0.0,0
U00672,J00385,0.2,0
U00102,J00258,0.3333333333333333,0
U00090,J00004,0.25,0
U00323,J00184,0.16666666666666666,0
U00710,J00182,0.5,0
U00113,J00277,0.2,0
U00930,J00249,0.0,0
